word,x_values,y_values
iphone,6.1859283,-0.71517575
after,0.7004804,0.01687923
tweeting,1.4069862,0.02491141
rise,0.53716445,0.0665903
austin,5.404638,-2.7799194
dead,1.1408117,-0.03463321
need,4.858425,0.2183946
upgrade,0.66793156,-0.017148105
plugin,-0.15433261,0.0009157268
station,0.7418478,0.029488398
sxsw,5.182929,-0.33454138
know,3.7847843,-1.0710065
awesome,3.89236,-0.39410532
ipad,5.628544,-2.0864809
likely,0.51415265,0.047746506
appreciate,-0.20402308,-0.012156413
design,4.5907183,-0.37114143
also,3.8142216,-0.13511081
giving,2.7026274,-0.3614472
free,4.9515123,-1.0138224
wait,2.5358865,-0.5689416
they,3.6398365,-0.23741251
sale,1.5014151,-0.3142238
hope,2.29063,-0.30036607
year,4.818149,0.041119065
festival,1.276005,-0.20507284
crashy,-0.44513002,-0.0019508846
great,5.1447496,-0.34807214
stuff,1.4171056,-0.106774814
marissa,4.0324755,2.0535283
mayer,4.754262,2.2865226
google,6.1251025,4.62246
reilly,0.2616545,0.029226793
tech,3.8490999,-0.25987235
book,2.3535733,-0.15719688
conference,2.30808,-0.24623847
matt,1.0163462,-0.019360265
mullenweg,-0.22778618,-0.018446686
wordpress,0.28928876,-0.014984708
apps,4.8992324,0.23169653
speechtherapy,-0.21412545,0.013771369
communication,1.3835549,-0.034888066
showcased,1.2708516,-0.016759837
http,1.4092085,-0.019789437
iear,-0.19534855,0.02559927
edchat,1.8153324,0.104140155
asd,-0.2462343,0.029156439
starting,1.7565962,0.016365001
ctia,-0.22357292,-0.0025343401
around,3.933733,-0.48286077
corner,0.8068897,-0.20019372
googleio,-0.3326644,0.0034320117
skip,-0.26943752,0.0003947543
jump,0.02693916,-0.012378473
good,4.918339,0.2701558
time,5.313656,-0.4151061
android,5.6492634,-0.19212662
beautifully,-0.2755117,-0.006816635
smart,2.5055218,-0.57804525
simple,0.55213475,-0.038515072
idea,2.1878545,0.0809919
wrote,0.6189256,0.0132482145
hollergram,1.0074785,-0.07981046
ieavob,-0.385028,0.006167891
counting,-0.36528412,0.009195585
day,2.3278658,-0.40498576
plus,1.1629627,0.0033297797
strong,0.05326515,0.038961615
canadian,0.30298495,0.10198252
dollar,0.18363753,-0.038586512
mean,1.8812823,-0.028961463
stock,0.75090206,-0.2740174
apple,6.3214827,-4.05289
gear,-0.20048115,-0.016048992
excited,1.5343893,0.18999869
meet,2.7757807,-0.11342613
show,4.6244054,-0.26217347
sprint,0.2527265,-0.03686135
galaxy,0.21142742,0.001761242
still,3.4646502,-0.99924594
running,0.9421762,-0.17533684
fail,1.5894825,0.087782286
find,3.0702727,0.0012539556
start,2.5444393,-0.12457006
impromptu,-0.40808526,0.02447197
party,5.292105,0.47743788
with,2.8649209,0.35065883
gvlrin,-0.3511234,-0.002952465
come,4.449355,-0.99572945
foursquare,2.6503844,0.04828383
game,4.965853,0.34812307
prefer,0.08410592,-0.025959022
best,4.810502,-0.45663753
looking,3.0192158,0.058043767
date,-0.43070695,0.008161025
gotta,0.59756565,-0.039784297
love,3.6768284,-0.8364395
calendar,1.2091161,0.03069602
featuring,0.38578644,-0.045266014
case,4.130867,-0.39872035
check,4.527351,0.06924383
axzwxb,-0.4294326,0.0051054265
tinyurl,-0.34328318,0.02001822
haha,0.6916407,0.034650408
awesomely,-0.08413711,-0.034469474
htdfim,-0.21276373,0.0012112755
holler,0.9698318,-0.14918554
gram,0.835447,-0.2141702
itunes,2.807681,-0.6180373
store,5.7310925,-4.0701084
noticed,-0.43647355,0.00986787
coming,3.078744,0.3369319
weekend,1.8300459,-0.3146125
many,3.1398036,-0.25705668
user,4.642068,0.3882246
hour,3.7464867,-0.66081125
late,1.3976325,-0.022387315
sunday,0.48369527,-0.04132965
morning,1.4621824,-0.18592627
just,5.0830727,-0.5728964
added,0.712766,-0.029126432
flight,1.5658327,-0.14833994
matching,-0.17896236,-0.00962618
people,5.0020614,-0.66255593
plane,1.020525,-0.08720362
airport,1.1128002,-0.031494826
downloaded,0.5023069,-0.028158192
nicely,-0.2855268,0.0026623541
done,1.0125605,-0.038992688
must,2.2470157,-0.15591492
lovely,0.019560277,-0.0023877074
review,1.6926295,0.07847396
forbes,-0.0869343,-0.002028766
gzypv,-0.36861706,0.011354662
sure,2.5322728,-0.18150666
pure,-0.0366888,0.010687407
unadulterated,-0.3544164,-0.005949213
easier,0.018255018,-0.06566306
browse,-0.3344397,-0.011262754
event,3.777,0.20837425
website,1.8556795,0.34223336
okay,-0.22035633,0.08546037
really,3.8358605,0.13872948
kthxbai,-0.39062592,0.010189117
photo,2.742437,-0.10682087
installed,-0.18627577,-0.0078100786
nice,2.976099,-0.3332228
tumblr,-0.19618496,0.0035269263
enjoying,0.9400107,-0.1443384
change,1.3717033,-0.03767732
gowalla,1.6003852,-0.16850553
forward,1.3090647,0.021360107
seeing,1.2817,-0.04347291
else,2.0949802,0.5772295
sleeve,-0.25837916,0.07065023
smcdallas,-0.18779458,-0.014227621
hoping,0.42011487,-0.09283983
resulting,0.0043680053,-0.0016261747
shameless,-0.04799112,0.01450797
promotion,0.044273525,-0.010772756
chevysmc,-0.21357095,0.006848698
someone,2.8425188,-0.3348112
started,1.1577004,-0.06394147
group,2.5450072,0.081194796
look,3.6708517,-0.32448977
like,5.619352,-0.3629896
going,4.220844,-0.30095094
rock,2.294239,0.02907189
update,2.8858461,0.18725264
push,0.6952542,0.02961743
tonight,3.1697187,0.19701257
etsbzk,-0.39545968,0.012824441
keepaustinweird,-0.36095217,0.011888312
right,4.502643,-0.15066674
sweeeeet,-0.43610606,0.007926334
team,3.427048,-0.15118666
very,1.973485,-0.21411116
xvwc,-0.33050385,-0.0071147047
leave,0.68313086,-0.18082339
vuvuzela,-0.2543912,0.02282417
home,1.9449204,-0.16909172
attn,-0.24616976,-0.013337879
frineds,-0.30190203,0.01283884
register,1.2084363,0.06934627
gdgtlive,-0.3088796,0.007167101
cobra,-0.23719427,0.00026839864
iradar,-0.23160805,-0.0031840298
link,4.849925,0.41402674
anyone,2.9702718,-0.8353843
want,4.483144,-0.45478278
sell,2.4415011,-1.0452847
bought,1.1523979,-0.4836824
older,-0.43769053,0.007037554
oooh,-0.3721658,0.027431605
launch,4.5564632,2.3749013
major,6.0245743,4.171563
social,6.484338,4.988049
network,6.52051,5.0427027
called,6.581707,4.5770397
circle,6.3153653,4.9353404
possibly,5.203817,3.9169772
today,5.115217,3.1537116
first,3.8428423,-0.6137467
line,4.7309084,-2.8114111
quot,5.064021,1.9110909
planner,-0.21206762,-0.049480263
eventprofs,-0.31252939,-0.022330524
pcma,-0.35667908,-0.0052671833
engage,-0.014451894,0.010115983
spin,0.27305767,-0.025429662
play,1.8685069,0.1139456
concept,0.5373973,0.07039784
music,4.3624516,-0.5648597
discovery,1.7446618,0.25914294
false,-0.081115894,0.25980404
alarm,0.59107953,0.32061088
probably,1.3417604,0.32876557
ever,2.5945382,-0.28515777
vatornews,-0.42724878,0.016580842
force,0.35101625,-0.10091255
print,0.9571113,-0.016309835
medium,2.6068308,1.0123572
evolve,-0.29715115,-0.007498398
weather,0.31612194,0.07452855
greet,-0.3115174,0.0004778169
sweater,-0.29654956,0.028248971
night,3.4738934,-0.4629288
putting,0.13375774,-0.09394857
flash,0.88151026,-0.12292247
downtown,3.8919942,-2.6315417
hootsuite,1.5103742,0.27862272
mobile,4.8509808,1.1398852
blackberry,2.4847581,-0.16118215
whether,-0.21914263,-0.01220243
getting,2.7323093,-0.094922885
friend,3.7886493,-0.16702186
long,2.4048078,-1.0183938
think,4.333058,0.30313152
take,3.2588603,-0.070017986
make,4.8923616,-0.24194899
answer,0.5347216,0.00093519
using,4.071381,-0.07101241
zazzlesxsw,0.48118195,-0.090991125
mashable,1.3519498,-0.38244092
over,0.4406024,-0.0508557
video,4.1877885,-0.04798805
gadget,1.4082009,-0.14978594
ubersocial,1.7572095,-1.2582711
includes,2.1514494,-1.4455273
uberguide,2.1886597,-1.2444662
sponsored,2.071637,-0.7532877
smartcover,-0.34557244,-0.010667343
open,4.6673326,-3.2410781
instant,0.7336433,-0.012694812
access,2.2012007,0.25681004
waited,0.2627568,-0.0768671
hand,2.885014,-0.15029563
held,0.21120535,-0.046526406
hobo,0.30965334,0.016642012
drafthouse,-0.050608803,0.022225758
shotgun,-0.14931886,-0.002971519
hooray,-0.29667276,-0.014259609
opening,4.116082,-3.2139797
orly,-0.42138895,0.061939877
wooooo,-0.31473327,-0.023318367
midnight,0.060141284,-0.29348904
khoi,0.41756868,-0.004227766
vinh,0.62976897,-0.0036390636
say,4.3928905,0.648564
conde,0.16946708,-0.016008973
nast,0.15038967,0.012756562
headlong,-0.119343504,-0.02364777
rush,0.11062855,0.002734091
publishing,1.1403657,0.07251337
fundamental,0.050496757,3.2344744e-06
misunderstanding,0.042307395,0.04539404
platform,3.2563586,0.35832658
help,3.2881188,-0.2532162
this,3.6989374,0.017822817
anonymous,-0.20560868,-0.008481509
account,0.79991126,-0.079094104
techie,0.33321962,-0.046549965
libya,-0.19277,0.017924163
what,3.4132001,-0.058734283
musedchat,1.6788459,0.13422185
sxswi,4.595908,0.39537928
classical,1.0569106,0.15520978
newtwitter,0.70166886,0.110969335
location,4.0892673,0.81704503
based,3.034126,0.28911087
fast,3.1741476,0.31308684
future,2.8510299,0.5658943
will,2.4300325,1.2055548
connect,1.4855732,0.8056054
digital,3.7874613,0.7667425
physical,2.1472735,0.46033043
world,3.504762,0.27907428
through,0.5824997,0.21855214
talking,1.8533336,0.1744587
effort,0.30685884,0.042115614
allow,0.23222603,-0.0017866697
system,1.6436284,0.011174241
bettercloud,0.09837247,0.04199856
tweet,4.608675,0.44051552
speak,1.6707681,0.35480475
mark,0.6668815,0.19485526
belinsky,0.5164154,0.2546615
panel,4.696232,0.3055144
stop,2.4864764,-0.118536994
chaos,-0.25108838,-0.0049018185
hunt,0.08851269,0.0564357
java,-0.20760788,-0.015528549
chance,1.5813531,-0.11732805
those,-0.1329021,0.016415697
kawasaki,1.4314107,-0.08216015
