word,x_values,y_values,count
iphone,6.1859283,-0.71517575,1592
austin,5.404638,-2.7799194,973
need,4.858425,0.2183946,238
sxsw,5.182929,-0.33454138,9636
know,3.7847843,-1.0710065,200
awesome,3.89236,-0.39410532,135
ipad,5.628544,-2.0864809,3004
design,4.5907183,-0.37114143,143
free,4.9515123,-1.0138224,388
year,4.818149,0.041119065,168
great,5.1447496,-0.34807214,222
marissa,4.0324755,2.0535283,185
mayer,4.754262,2.2865226,211
google,6.1251025,4.62246,2653
tech,3.8490999,-0.25987235,167
apps,4.8992324,0.23169653,226
around,3.933733,-0.48286077,131
good,4.918339,0.2701558,177
time,5.313656,-0.4151061,306
android,5.6492634,-0.19212662,598
apple,6.3214827,-4.05289,2342
show,4.6244054,-0.26217347,140
still,3.4646502,-0.99924594,107
party,5.292105,0.47743788,401
come,4.449355,-0.99572945,229
game,4.965853,0.34812307,158
best,4.810502,-0.45663753,146
love,3.6768284,-0.8364395,146
case,4.130867,-0.39872035,122
check,4.527351,0.06924383,266
store,5.7310925,-4.0701084,1528
coming,3.078744,0.3369319,104
user,4.642068,0.3882246,156
just,5.0830727,-0.5728964,213
people,5.0020614,-0.66255593,231
event,3.777,0.20837425,110
really,3.8358605,0.13872948,111
photo,2.742437,-0.10682087,109
look,3.6708517,-0.32448977,152
like,5.619352,-0.3629896,308
going,4.220844,-0.30095094,220
right,4.502643,-0.15066674,121
team,3.427048,-0.15118666,104
link,4.849925,0.41402674,4305
anyone,2.9702718,-0.8353843,118
want,4.483144,-0.45478278,177
launch,4.5564632,2.3749013,683
major,6.0245743,4.171563,297
social,6.484338,4.988049,663
network,6.52051,5.0427027,468
called,6.581707,4.5770397,354
circle,6.3153653,4.9353404,685
possibly,5.203817,3.9169772,237
today,5.115217,3.1537116,577
first,3.8428423,-0.6137467,168
line,4.7309084,-2.8114111,450
quot,5.064021,1.9110909,1696
music,4.3624516,-0.5648597,150
downtown,3.8919942,-2.6315417,224
mobile,4.8509808,1.1398852,350
think,4.333058,0.30313152,175
take,3.2588603,-0.070017986,108
make,4.8923616,-0.24194899,177
using,4.071381,-0.07101241,115
video,4.1877885,-0.04798805,136
open,4.6673326,-3.2410781,255
opening,4.116082,-3.2139797,256
say,4.3928905,0.648564,114
this,3.6989374,0.017822817,118
what,3.4132001,-0.058734283,127
sxswi,4.595908,0.39537928,341
location,4.0892673,0.81704503,147
future,2.8510299,0.5658943,102
tweet,4.608675,0.44051552,138
panel,4.696232,0.3055144,159
talk,4.7479424,0.14132546,144
search,4.5377936,1.2929991,155
would,4.3270845,-0.39578053,126
map,4.463966,1.802102,221
news,3.8398173,0.8323524,171
last,4.242194,-0.26817855,125
phone,4.255665,-0.09772616,127
launching,2.4878438,2.3671007,108
popup,4.021139,-3.3320844,211
thing,4.1684084,-0.27175876,128
thanks,3.9279268,-0.13250658,141
japan,4.838406,-0.048724957,116
next,4.4484897,-0.068302475,151
temporary,4.5787888,-2.9783075,265
congress,2.727902,-1.8294365,103
cool,3.8844821,-0.8371653,151
download,3.0001338,-0.51500285,113
week,3.6089497,-0.2624317,104
rumor,2.8521214,-0.43691382,131
product,4.858223,1.4651095,167
shop,3.647245,-2.312039,145
even,3.8266218,-0.75682056,108
bing,3.9392242,0.8720246,115
booth,3.6607444,-0.22872815,103
session,4.115486,0.2476046,125
