x_values,y_values,count,word,Cluster,Silhouette
continuous,continuous,continuous,string,C1 C2,continuous
,,,meta,meta,meta
0.82046807,-0.012499515,28.0,tweeting,C1,0.7396418679083535
0.37634316,0.003478353,11.0,rise,C1,0.7388799559232955
0.73111004,-0.033749204,18.0,dead,C1,0.7398759069185381
3.9828346,0.020948611,238.0,need,C1,0.683252124718998
0.37662598,-0.0074088247,13.0,upgrade,C1,0.7390690605263872
0.4271167,-0.040221818,12.0,station,C1,0.7393619420134612
3.193548,-0.30603263,200.0,know,C1,0.7026740655206632
3.1021552,-0.18599184,135.0,awesome,C1,0.7118897295092816
0.26043293,0.013959806,13.0,likely,C1,0.7380920327673789
4.019419,-0.15933505,143.0,design,C1,0.6981568693491549
2.7026744,-0.10404712,79.0,also,C1,0.7212396677211714
2.097018,-0.11153362,71.0,giving,C1,0.728830032846737
4.5649724,-0.3645213,388.0,free,C1,0.6514660951036783
1.9270232,-0.10096901,77.0,wait,C1,0.7301502610636351
1.1210569,-0.08354992,47.0,sale,C1,0.7379512743143788
1.6456244,-0.028374815,55.0,hope,C1,0.733811462848796
3.8084848,-0.36668912,168.0,year,C1,0.6991067393315148
0.83228153,-0.061614644,32.0,festival,C1,0.7396500784320099
4.0922103,-0.30953568,222.0,great,C1,0.6881421331043657
0.9657178,-0.03619095,36.0,stuff,C1,0.7391142768877499
3.2821126,-0.74373174,185.0,marissa,C1,0.7003150422260853
3.4865944,-0.71453625,211.0,mayer,C1,0.6955544034154331
3.294121,0.09623543,167.0,tech,C1,0.702717551081571
1.4868015,-0.10369754,38.0,book,C1,0.7357426810432309
1.7683752,-0.1994597,73.0,conference,C1,0.7313517772856963
0.547015,-0.033140186,12.0,matt,C1,0.7396832143919654
4.084291,-0.06275168,226.0,apps,C1,0.6852419497279177
1.0250382,-0.04847326,22.0,communication,C1,0.7389267166901066
0.9112232,-0.055109147,20.0,showcased,C1,0.7394064311388631
0.9107816,-0.08614178,29.0,http,C1,0.7393634100888364
1.3765107,-0.07794311,37.0,edchat,C1,0.7366998955267938
1.133316,-0.07123189,33.0,starting,C1,0.7383777961880718
3.1650639,-0.21734275,131.0,around,C1,0.7115201328186139
0.3798915,-0.023447704,14.0,corner,C1,0.7392120195189368
3.875,-0.04266789,177.0,good,C1,0.6952726006663206
4.422304,-0.23899443,306.0,time,C1,0.668543730850091
4.860034,-0.36594573,598.0,android,C1,0.5962330226171535
1.6498094,-0.17254552,63.0,smart,C1,0.7331342699275676
0.21503419,-0.020249285,10.0,simple,C1,0.7379011614696872
1.5687754,-0.060778704,49.0,idea,C1,0.7348509072043599
0.2896925,-0.024697563,12.0,wrote,C1,0.7385921919302334
0.704123,-0.07257653,32.0,hollergram,C1,0.7397394755709589
1.5893188,-0.13455383,51.0,day,C1,0.7344447418498224
0.75758237,0.0023251243,20.0,plus,C1,0.7396323514136083
1.1794078,-0.06981985,30.0,mean,C1,0.7381152433244929
0.3835099,-0.052735876,22.0,stock,C1,0.7392152317986933
0.8827562,0.11216601,44.0,excited,C1,0.7369507451041859
1.9448355,-0.07818192,64.0,meet,C1,0.7307451506419471
4.1876173,-0.27397892,140.0,show,C1,0.6964471825770397
0.058986705,-0.04790395,10.0,galaxy,C1,0.7362982825258798
2.6758256,-0.2148768,107.0,still,C1,0.7196212754953913
0.45808277,-0.07006336,18.0,running,C1,0.7394681062985525
1.2678208,-0.021963047,38.0,fail,C1,0.737348533315822
2.3023114,-0.076387346,89.0,find,C1,0.7253328806339403
1.6380975,-0.06005354,49.0,start,C1,0.7342408540962393
4.7511845,-0.32424605,401.0,party,C1,0.6455310112193402
3.6036708,-0.38305902,229.0,come,C1,0.6935556131250891
1.699736,-0.085148185,52.0,foursquare,C1,0.7336085768019385
4.3934846,0.12609361,153.0,game,C1,0.6870395061700475
3.8271277,-0.3669222,146.0,best,C1,0.701118766870456
2.1558888,-0.09183623,80.0,looking,C1,0.7276306021308641
0.29659492,0.0041637355,18.0,gotta,C1,0.7385340227612895
3.1570432,-0.2934194,146.0,love,C1,0.7099902378598538
0.61332786,-0.029586786,20.0,calendar,C1,0.7399824605394201
0.10009267,-0.022775946,10.0,featuring,C1,0.7367664989844902
3.4840248,-0.24469125,122.0,case,C1,0.7081053441524086
4.054464,-0.20828441,266.0,check,C1,0.6806659210888059
0.47077063,-0.0034029318,23.0,haha,C1,0.7394988210070161
0.6976477,-0.050895967,22.0,holler,C1,0.7399944301421119
0.6947958,-0.06531414,22.0,gram,C1,0.7399403095048244
2.232751,-0.2299091,98.0,itunes,C1,0.7250637926194465
4.232746,-0.2365583,1528.0,store,C2,0.5278247385749119
2.6172662,0.074747585,104.0,coming,C1,0.7189512699500162
1.2160975,-0.121341236,44.0,weekend,C1,0.7373774969702427
2.2663703,-0.07498794,78.0,many,C1,0.7264987125700032
3.9373012,-0.49628964,156.0,user,C1,0.6981741116050565
2.6725078,-0.18972942,89.0,hour,C1,0.7210540833886094
0.68895656,-0.007893841,31.0,late,C1,0.739702955556962
0.29149485,-0.042192075,11.0,sunday,C1,0.738553251108718
1.0422007,-0.061701775,43.0,morning,C1,0.7385498995005404
0.36187333,-0.009105945,18.0,added,C1,0.7390813724652555
1.0546224,-0.074502684,25.0,flight,C1,0.7387857068414123
4.0440135,-0.25600594,231.0,people,C1,0.6871286912101329
0.58512425,-0.04101546,18.0,plane,C1,0.739945229508251
0.8268651,-0.06961225,21.0,airport,C1,0.7396733173969088
0.31567454,-0.026227588,11.0,downloaded,C1,0.7387339421385372
0.65758365,0.008013768,21.0,done,C1,0.7396974829942417
1.6086525,-0.0873097,50.0,must,C1,0.7344877066722028
1.0036613,-0.015398657,28.0,review,C1,0.7389775267719082
1.9305129,-0.09311797,64.0,sure,C1,0.7309077020878609
2.983376,-0.07427495,105.0,event,C1,0.7157093178235813
1.306629,-0.07069776,42.0,website,C1,0.7371147115685552
2.8287396,-0.009690305,111.0,really,C1,0.7167027813141132
2.0168169,-0.108885914,105.0,photo,C1,0.7268276228166171
2.0747592,-0.12967204,82.0,nice,C1,0.728331832400586
0.4660552,0.0077350046,18.0,enjoying,C1,0.7393872281733227
0.87487835,-0.07479418,21.0,change,C1,0.7394987498277245
0.96179146,-0.03593116,41.0,gowalla,C1,0.7389238515529135
1.0088129,-0.06578121,32.0,forward,C1,0.7390389332368185
0.85087293,-0.09590157,28.0,seeing,C1,0.7394616677695464
1.465817,0.086253695,59.0,else,C1,0.7337425057405155
0.2391346,-0.024121298,11.0,hoping,C1,0.7381609524261235
1.8421725,-0.12825362,67.0,someone,C1,0.7315423615220439
0.6706216,-0.056955375,25.0,started,C1,0.739979702210641
2.491411,-0.2233271,112.0,austin,C1,0.7212081736803477
1.5613174,0.0023838128,51.0,group,C1,0.7344866770143834
3.0784097,-0.06693257,152.0,look,C1,0.7096678000069843
4.905951,-0.094086334,308.0,like,C1,0.6586046337781242
3.550182,-0.14479734,220.0,going,C1,0.6945715382779187
1.482364,-0.10210789,46.0,rock,C1,0.7356285843655663
2.0186112,-0.055789005,92.0,update,C1,0.7279427693644085
0.36866713,-0.022046011,14.0,push,C1,0.7391477023501408
2.2853765,-0.1385726,89.0,tonight,C1,0.7256084486788963
3.3821468,-0.1714431,121.0,right,C1,0.709470050509835
2.8161473,-0.25285277,104.0,team,C1,0.7180600405736357
0.39458767,-0.014187735,15.0,leave,C1,0.7392633990959503
1.0379314,-0.053746633,36.0,home,C1,0.7388363807652373
0.64885634,-0.012017906,26.0,register,C1,0.7398656577686107
1.9588598,-0.25808188,118.0,anyone,C1,0.7252814161361469
3.8252742,-0.27603206,177.0,want,C1,0.6977837423953468
1.8273387,-0.16215323,67.0,sell,C1,0.7315112818121614
0.5888697,-0.1253308,36.0,bought,C1,0.7388784338596893
3.2006848,3.2630048,683.0,launch,C2,0.6697483053651145
2.6705678,3.579378,297.0,major,C2,0.649673233277142
3.7836735,4.3063135,663.0,social,C2,0.6817088354238758
3.4207864,4.2524476,467.0,network,C2,0.6815808679225507
3.1507554,4.0290985,354.0,called,C2,0.66969933443405
3.717602,4.2062535,587.0,circle,C2,0.6853115900667981
2.338049,3.2956865,237.0,possibly,C2,0.6163018714330238
3.5824661,3.0003145,577.0,today,C2,0.661260782852819
3.3825767,-0.18644863,168.0,first,C1,0.7045359971555151
3.6711447,-0.4883397,448.0,line,C1,0.6492067762533114
0.15796773,0.013580839,10.0,spin,C1,0.7371133742968906
1.3431276,0.023630688,38.0,play,C1,0.7364013616329282
0.3231083,-0.027592134,14.0,concept,C1,0.738886267192894
3.3827362,-0.27589494,150.0,music,C1,0.7067846491014849
1.3163126,-0.06650415,31.0,discovery,C1,0.7371846310385265
-0.025839854,0.08341411,10.0,false,C1,0.7341462468775972
0.3837851,0.13495336,17.0,alarm,C1,0.7363495925169968
0.8553798,0.1311018,36.0,probably,C1,0.7368705244763012
1.6670697,-0.15784307,78.0,ever,C1,0.7320983580132089
1.4690968,1.2937418,98.0,circles,C1,0.6702871392141054
0.22145115,-0.033145558,10.0,force,C1,0.7379732355166893
0.49317133,-0.04898581,13.0,print,C1,0.7395964725450479
1.7170285,0.43819386,56.0,medium,C1,0.722011365028878
2.2404501,-0.20925687,70.0,night,C1,0.7269747045210044
0.08006348,-0.010182918,13.0,putting,C1,0.7365773602003273
0.61898273,-0.03385748,19.0,flash,C1,0.7399840042746884
1.4161005,0.32568836,224.0,downtown,C1,0.704223682620697
0.95964926,-0.09904428,46.0,hootsuite,C1,0.7385281460323126
3.845598,-0.48110905,350.0,mobile,C1,0.6692037938529053
1.9975824,-0.3140796,98.0,blackberry,C1,0.726325780589375
2.161079,-0.081454016,81.0,getting,C1,0.7274815571318001
2.378666,-0.12056384,84.0,friend,C1,0.7249259028255688
1.4330504,-0.22110063,75.0,long,C1,0.7332524545248588
3.8871992,-0.11881056,175.0,think,C1,0.6962149156824553
2.3855906,-0.06630193,108.0,take,C1,0.7227042418599772
4.419849,-0.17867574,177.0,make,C1,0.6884394074300695
0.25375047,-0.012151761,12.0,answer,C1,0.7382658221593499
3.5712223,-0.23680499,115.0,using,C1,0.707435530368708
0.3134309,-0.046281006,25.0,zazzlesxsw,C1,0.738709176757931
0.7519831,-0.11500297,49.0,mashable,C1,0.7384568620215082
3.406372,-0.13046125,134.0,video,C1,0.7077632586517831
0.088859975,-0.012423679,10.0,gadgets,C1,0.7366069462479998
0.9917438,-0.27044633,69.0,ubersocial,C1,0.7344972820654465
1.2874198,-0.35011983,69.0,includes,C1,0.732134332657956
1.3721044,-0.28185275,69.0,uberguide,C1,0.7330788873867778
1.3575218,-0.23773552,54.0,sponsored,C1,0.7347161034521874
3.0467563,-0.4644768,255.0,open,C1,0.6951729394658901
