word,x_values,y_values,count
tweeting,0.72449845,-0.042274207,28
rise,0.37315086,-0.014838942,11
dead,0.6734921,-0.028589154,18
need,3.939999,-0.03784759,238
upgrade,0.37954968,-0.0049604517,13
station,0.3902384,-0.013614431,12
know,3.1169963,-0.28908768,200
awesome,2.9980173,-0.17748371,135
likely,0.44783,-0.012067247,13
design,3.8428292,-0.2193666,143
also,2.6595058,-0.15837502,79
giving,1.9907204,-0.13702461,71
free,4.4471164,-0.4372165,388
wait,1.6800069,-0.04738659,77
sale,1.0975877,-0.08363054,47
hope,1.5321132,-0.0001901613,55
year,3.7379053,-0.35454988,168
festival,0.78700876,-0.048501916,32
great,4.1511583,-0.22871932,222
stuff,0.9358312,-0.08898522,36
marissa,3.0538046,-0.61533594,185
mayer,3.4700887,-0.5993473,211
tech,3.0840678,0.0062665837,167
book,1.4492606,-0.10188879,38
conference,1.640646,-0.2003517,73
matt,0.37934664,0.00678677,12
apps,4.0572357,-0.1038501,226
communication,0.8918339,-0.009857278,22
showcased,0.8125513,-0.05286669,20
http,0.93042237,-0.08367835,29
edchat,1.3107303,-0.08286748,37
starting,1.0802369,-0.060028985,33
around,2.9955199,-0.10489845,131
corner,0.34847537,-0.024227751,14
good,3.762804,-0.027145028,177
time,4.347983,-0.12852542,306
android,4.820138,-0.24147354,598
smart,1.6479223,-0.17128293,63
simple,0.29448065,-0.036162347,10
idea,1.5160959,-0.01899093,49
wrote,0.2599185,-0.021325411,12
hollergram,0.6195278,-0.055089045,32
day,1.4308649,-0.10268541,51
plus,0.79187644,-0.04734334,20
mean,1.1169865,-0.03761056,30
stock,0.30828,-0.050637096,22
excited,0.98879004,0.104259476,44
meet,1.8527869,-0.08380363,64
show,4.017636,-0.21843404,140
galaxy,0.042528734,-0.034282867,10
still,2.4960742,-0.24849881,107
running,0.4492083,-0.05633641,18
fail,1.2015597,-0.011306786,38
find,2.1390183,-0.052766684,89
start,1.6680536,-0.08096488,49
party,4.628952,-0.3055183,401
come,3.591481,-0.41099754,229
foursquare,1.7514335,-0.025266273,52
game,4.43436,0.08228416,153
best,3.6552336,-0.29877335,146
looking,2.2897625,-0.103880174,80
gotta,0.3414384,-0.0026754842,18
love,3.1303666,-0.29937693,146
calendar,0.6706971,-0.016096674,20
featuring,0.063442886,-0.014219902,10
case,3.3824713,-0.19622706,122
check,3.7830577,-0.28297678,266
haha,0.46970206,-0.018083446,23
holler,0.6681456,-0.07707804,22
gram,0.5990853,-0.039656956,22
itunes,2.0266805,-0.27294132,98
store,4.1489377,-0.57025033,1528
coming,2.5055299,0.047281783,104
weekend,1.265532,-0.0879912,44
many,2.1346483,-0.08055967,78
user,3.8839295,-0.390901,156
hour,2.592913,-0.21591073,89
late,0.7983992,-0.021062313,31
sunday,0.23793408,-0.005792827,11
morning,0.9616236,-0.05068459,43
added,0.48754197,-0.03751834,18
flight,1.0166003,-0.0395401,25
people,3.8059685,-0.18459016,231
plane,0.5221927,-0.01342937,18
airport,0.74073607,-0.049805265,21
downloaded,0.2764756,-0.028222831,11
done,0.6100555,-0.010135777,21
must,1.4441766,-0.12888575,50
review,1.0102395,-0.035616465,28
sure,1.8181417,-0.1016501,64
event,2.9358845,-0.041194253,105
website,1.3125818,-0.09630988,42
really,2.6699283,0.04262671,111
photo,2.0242183,-0.09234452,105
nice,2.1558433,-0.17741224,82
enjoying,0.4443386,0.0044746534,18
change,0.8403674,-0.05622164,21
gowalla,0.9145668,-0.06411661,41
forward,0.93685454,-0.053017188,32
seeing,0.748738,-0.087213196,28
else,1.3919493,0.10603397,59
hoping,0.20359357,-0.016593248,11
someone,1.8336114,-0.1398656,67
started,0.74309695,-0.02885473,25
austin,2.361824,-0.24514458,112
group,1.6018457,-0.014180164,51
look,3.0001428,-0.19080539,152
like,5.0412045,-0.22488888,308
going,3.4216986,-0.23608786,220
rock,1.3775554,-0.028523657,46
update,2.0395284,-0.037918143,92
push,0.31536293,-0.02515172,14
tonight,2.259677,-0.06536101,89
right,3.2755148,-0.08687474,121
team,2.6935298,-0.14902371,104
leave,0.36872184,-0.013786303,15
home,1.0933657,-0.06256105,36
register,0.6013041,-0.022722865,26
anyone,1.8336881,-0.2994198,118
want,3.5858142,-0.26765382,177
sell,1.5831488,-0.21224402,67
bought,0.78513527,-0.13843928,36
launch,3.0181472,3.1209772,683
major,2.527426,3.4652317,297
social,3.805127,4.1441097,663
network,3.2165751,4.2585154,467
called,3.104205,3.9995928,354
circle,3.6691115,3.9206965,587
possibly,2.2805653,3.234166,237
today,3.4819539,3.0707464,577
first,3.3595448,-0.1698361,168
line,3.60722,-0.49972948,448
spin,0.1805115,0.02716754,10
play,1.204094,-0.0060387375,38
concept,0.33427614,-0.0038083426,14
music,3.269155,-0.3616415,150
discovery,1.2806504,-0.07887339,31
false,-0.06068827,0.08947029,10
alarm,0.30880892,0.15304966,17
probably,0.77486086,0.05761904,36
ever,1.6501882,-0.21709816,78
circles,1.3812013,1.2189109,98
force,0.16108152,-0.0288335,10
print,0.4782029,-0.04106384,13
medium,1.5899255,0.3990083,56
night,2.308272,-0.17055303,70
putting,0.044948384,-0.011808379,13
flash,0.54539955,-0.038734544,19
downtown,1.2458322,0.011523955,224
hootsuite,0.87913936,-0.063762665,46
mobile,3.9299507,-0.47619992,350
blackberry,2.1151643,-0.19392534,98
getting,2.0411656,-0.13455778,81
friend,2.3634138,-0.11486551,84
long,1.5842853,-0.21089059,75
think,3.7399507,-0.103819504,175
take,2.408427,-0.13039957,108
make,4.2176995,-0.14498289,177
answer,0.22508058,-0.042895082,12
using,3.4803286,-0.26582494,115
zazzlesxsw,0.3410586,-0.05769273,25
mashable,0.73514426,-0.11818557,49
video,3.242262,-0.02686104,134
gadgets,0.08530032,-0.018321523,10
ubersocial,1.0562063,-0.281277,69
includes,1.1739628,-0.2901877,69
uberguide,1.4202912,-0.27831855,69
sponsored,1.2195129,-0.18482725,54
open,2.664892,-0.50958467,255
access,1.3975104,0.029099228,36
waited,0.076641746,0.005015699,11
hand,1.9029088,-0.038443316,54
hobo,0.1272754,0.009636033,10
opening,1.3732134,-0.069731094,256
midnight,-0.051263347,-0.030767636,13
say,3.5530725,0.071594246,114
publishing,0.6443413,-0.048500415,15
platform,2.145294,0.19534214,72
help,2.1241684,-0.11539905,64
account,0.4258396,-0.01612962,12
musedchat,1.1280069,-0.07691979,34
classical,0.9047866,-0.059835494,31
newtwitter,0.6746789,-0.04007556,33
location,3.4742107,-0.43795183,147
based,2.0171044,-0.16473414,59
fast,2.240577,-0.12695052,74
future,2.4170702,-0.2176151,102
connect,0.6594301,-0.0008827945,45
digital,2.799508,-0.2729381,89
physical,0.99866354,-0.21171887,47
world,2.1666305,-0.17221934,92
talking,1.2207022,-0.07120347,39
system,0.92855513,-0.04783717,19
tweet,3.7668462,-0.14257771,138
speak,1.1962271,-0.11398534,41
mark,0.42637858,-0.07814524,23
belinsky,0.45083618,-0.085269615,26
panel,4.0317335,-0.1817015,159
stop,1.6440616,-0.06599846,56
chance,1.0124111,-0.031152999,37
kawasaki,0.9420053,-0.0294742,22
talk,3.8638027,-0.16007884,144
internet,0.8535573,-0.0445316,31
search,3.8062718,-0.060391903,155
heard,1.6819625,-0.34919235,95
pic,0.9091178,-0.06529375,31
already,1.9709319,-0.12891236,74
would,3.5612574,-0.19978277,126
interesting,1.1664417,0.37573457,72
actually,0.62330276,-0.03734366,27
insane,-0.095693894,-0.023801975,10
agree,0.35729074,-0.0194173,16
town,0.9073664,-0.038024362,29
album,0.34410244,-0.032502048,15
wanna,0.42221332,-0.034402743,26
drink,1.266182,-0.105523966,44
join,1.9098365,0.09262679,66
attending,0.54199046,-0.100256525,31
headache,0.64612335,-0.10414597,33
flipboard,1.8342465,0.004806409,60
developing,0.03271908,-0.0064022406,11
version,0.9549492,-0.1044173,41
power,1.6176435,-0.105243586,43
value,0.7344776,-0.053215895,19
service,1.7137353,0.38916552,67
battle,0.2489583,-0.015996981,10
pnid,0.27083898,-0.02889933,18
stand,0.3850746,0.0040795445,15
blogger,0.7559574,-0.007910256,23
shirt,0.6896332,-0.036617935,20
band,1.1796094,-0.16565515,44
food,1.3294574,-0.13030876,41
cream,0.31814194,-0.012896488,14
interactive,1.853626,-0.089771084,71
map,3.4729238,-0.5245735,216
groupon,0.60874337,0.25450602,22
reward,0.9949689,0.17871702,39
type,0.7919979,0.20625702,29
news,3.619688,0.45555645,171
traffic,1.1686891,-0.08276615,42
site,1.6304867,0.022343121,49
doubt,0.07556043,0.052172557,11
last,3.2047055,-0.23006707,125
weird,0.46641505,-0.017892366,14
name,0.6647701,-0.008819628,18
phone,3.349608,-0.33455285,127
droid,0.4806368,-0.046210706,22
agnerd,0.1269119,-0.022203287,10
laptop,2.5463054,-0.050776012,68
follow,1.6667911,-0.10626302,48
launching,1.6729921,1.06968,108
denies,-0.060018644,0.19608748,11
debut,0.1881706,0.05948365,11
report,0.6549024,0.043854356,38
post,1.808003,-0.07288417,65
easy,0.6000209,-0.011532158,18
yesterday,0.58187675,-0.018904805,27
ridiculous,0.16427022,-0.02297344,10
popup,2.2823477,-0.5566814,211
fan,0.39496407,-0.07007352,15
space,1.1471266,0.0025371092,28
tomorrow,1.8392394,-0.1737077,72
thing,3.1932237,-0.17309587,128
earth,0.66841686,-0.05793612,18
face,0.28013095,-0.025385503,13
company,2.137772,-0.038580928,63
stay,0.8102703,0.02788872,25
tune,0.29025823,-0.02181721,10
showcase,0.16119608,-0.03943575,11
ckers,0.5321035,0.06645922,23
thank,0.9278558,-0.085756674,33
touchingstories,0.76916695,-0.03899396,31
preso,0.11549512,-0.0048920778,10
thanks,3.0028043,-0.14166467,141
trying,1.3454909,-0.08762787,43
contact,0.6811235,-0.0029895143,18
japan,3.9188693,-0.05197056,116
created,0.47339192,-0.03608228,12
